address,area,price,longtitude,latitude
"Екатеринбург, ул. Вильгельма де Геннина, 42",50.0,68000,56.790378,60.515288
"Екатеринбург, микрорайон Академический, пр-т Академика Сахарова, 93",37.0,77027,56.790787,60.504274
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",54.0,103704,56.833723,60.546792
"Екатеринбург, ул. Машинистов, 3",38.0,94737,56.85274,60.580945
"Екатеринбург, ул. Чайковского, 90",100.0,86500,56.799857,60.620777
"Екатеринбург, ул. Фурманова, 124",140.0,170714,56.81436,60.588249
"Екатеринбург, ул. Горького, 31",265.0,437736,56.836328,60.606862
"Екатеринбург, мкр. Светлый, стр. 7",46.0,54326,56.779136,60.70361
"Екатеринбург, Свердловская обл, Екатеринбург, ЖБИ, ул. 40-летия Комсомола, 24",24.5,95510,56.827867,60.692822
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Краснолесья, 141",41.0,70732,56.793178,60.515647
"Екатеринбург, пер. Трактористов, 4",107.0,72430,56.802923,60.625771
"Екатеринбург, ул. Щербакова, 74",41.0,78049,56.777518,60.663671
"Екатеринбург, ул. Белинского, д. 163б",106.6,71000,56.806427,60.625556
"Екатеринбург, Гончарный пер., 4",61.0,64426,56.782198,60.652164
"Екатеринбург, Железнодорожный район, микрорайон Новая Сортировка, ул. Крупносортщиков, 12",40.6,73645,56.862366,60.564057
"Екатеринбург, Свердловская область, Екатеринбург, район Верх-Исетский, Ленина пр-кт, 13А",88.0,76125,56.837302,60.589372
"Екатеринбург, Латвийская ул., 56",22.0,90455,56.798906,60.764929
"Екатеринбург, ул. Токарей, 26",42.0,106905,56.836707,60.56094
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, ул. Старых Большевиков, 3",46.0,78043,56.884674,60.636857
"Екатеринбург, ул. Белинского, 54",158.0,101266,56.830295,60.615629
"Екатеринбург, Якутская ул., 10",77.0,57143,56.782558,60.680434
"Екатеринбург, Гончарный пер., 4",61.0,64426,56.782198,60.652164
