address,area,price
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Таганская ул., 79",50.8,82677
"Екатеринбург, ул. Белинского, 177Ак3",44.0,110455
"Екатеринбург, ул. Вильгельма де Геннина, 37",40.0,82250
"Екатеринбург, мкр. Светлый, стр. 6",32.5,65538
"Екатеринбург, Россия, Екатеринбург, ул Цвиллинга, 58",30.2,104305
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Вильгельма де Геннина, 34",60.4,65232
"Екатеринбург, Рощинская ул., 41",52.6,73194
"Екатеринбург, ул. 3-го Интернационала, ЖК «Татлин»",42.1,85273
"Екатеринбург, Свердловская обл, Екатеринбург, УНЦ, ул. Краснолесья, 76",40.4,74257
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Анатолия Мехренцева, 38",57.6,70312
"Екатеринбург, Свердловская обл, Екатеринбург, УНЦ, ул. Краснолесья, 30",81.0,69753
"Екатеринбург, Свердловская обл, Екатеринбург, Уктус, мкр. Светлый, 3",35.0,64857
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, ул. Рябинина, 21",55.0,65273
"Екатеринбург, ул. Крауля/Рабочих/Красных Зорь/Лоцмановых, 1 очередь",43.0,87209
"Екатеринбург, Переходный пер., 6",29.0,111724
"Екатеринбург, Свердловская обл, Екатеринбург, Академический, пр-кт. Академика Сахарова, 75",36.2,77348
"Екатеринбург, Свердловская обл, Екатеринбург, ВИЗ, ул. Крауля, 44",88.0,85227
"Екатеринбург, Чкаловский район, микрорайон Светлый, 5",32.0,68750
"Екатеринбург, ул. Рябинина, 29",40.0,69750
"Екатеринбург, Свердловская область, Екатеринбург, район Чкаловский, Ремесленный пер, 6",36.4,85137
"Екатеринбург, Октябрьский район, микрорайон Лечебный, Волчанский пер., 2А",63.0,62698
"Екатеринбург, Свердловская область, Екатеринбург, район Чкаловский, Родонитовая ул, 23А",34.7,105187
"Екатеринбург, ул.Стачек, д. 68",63.0,80159
"Екатеринбург, ул. Щербакова, этап 1.4",29.0,81034
