address,price,longitude,latitude
"Санкт-Петербург, Парашютная улица, 34",141489,30.254792,60.026766
"Санкт-Петербург, проспект Энгельса, 19",109155,30.328561,60.002094
"Санкт-Петербург, Наличная улица, 26к4",242720,30.228336,59.940722
"Санкт-Петербург, Кременчугская улица",214480,30.373432,59.92037
"Санкт-Петербург, Белоостровская улица, 8",129345,30.321267,59.986088
"Санкт-Петербург, Загребский бульвар, 37/27",90667,30.414198,59.830535
"Санкт-Петербург, проспект Обуховской Обороны, 110к1",143750,30.4686,59.866667
"Санкт-Петербург, Мурино, Воронцовский бульвар, 23/11",99000,30.428382,60.068183
"Санкт-Петербург, Мурино, Новая улица, 7к3",101429,30.449519,60.041355
"Санкт-Петербург, Мурино, Петровский бульвар, 12к2",126829,30.428795,60.059944
"Санкт-Петербург, Комендантский проспект, 60к1",119996,30.225614,60.035351
"Санкт-Петербург, Мурино, Петровский бульвар, 14к1",118750,30.426496,60.05945
"Санкт-Петербург, Кудрово, Европейский проспект, 20 к1",119777,30.517369,59.909562
"Санкт-Петербург, набережная реки Каменки, 11к2",114750,30.27566,60.056975
"Санкт-Петербург, Мурино, проспект Авиаторов Балтики, 3к1",115538,30.433161,60.049536
"Санкт-Петербург, улица Генерала Симоняка, 17",116029,30.20401,59.828478
"Санкт-Петербург, Пушкинский район, территория Гуммолосары, участок 72",118530,30.417872,59.690272
"Санкт-Петербург, Алтайская улица, 26",149500,30.333852,59.84979
"Санкт-Петербург, улица Димитрова, 10к4",108730,30.376397,59.84974
"Санкт-Петербург, Приморский район, муниципальный округ Коломяги, жилой комплекс Легенда Комендантского",143717,30.227438,60.033225
"Санкт-Петербург, улица Танкиста Хрустицкого, 7",111862,30.248782,59.839095
"Санкт-Петербург, Мурино, улица Шоссе в Лаврики, 55",95029,30.458035,60.059459
"Санкт-Петербург, улица Щербакова, 9",113402,30.29765,60.028995
"Санкт-Петербург, Институтский проспект, 16к1",239471,30.346411,60.002382
"Санкт-Петербург, территория Усть-Славянка, Советский проспект, 34к2",106000,30.553032,59.82722
"Санкт-Петербург, Белоостровская улица, 8",148065,30.321267,59.986088
"Санкт-Петербург, 1-й Предпортовый проезд, 14",177966,30.306355,59.842264
"Санкт-Петербург, Афанасьевская улица, 1",129787,30.296339,60.03349
"Санкт-Петербург, территория Усть-Славянка, Советский проспект, 34к2",106000,30.553032,59.82722
"Санкт-Петербург, Дрезденская улица, 9",131429,30.327986,60.012755
"Санкт-Петербург, Василеостровский район, муниципальный округ Морской, жилой комплекс Голден Сити",173669,30.19411,59.941164
"Санкт-Петербург, Кудрово, Австрийская улица, 4к1",102195,30.510246,59.902776
"Санкт-Петербург, улица Зины Портновой, 17к3",104603,30.25366,59.853613
"Санкт-Петербург, проспект Героев, 31",148223,30.152653,59.858787
"Санкт-Петербург, Общественный переулок, 5",157143,30.42672,59.902799
"Санкт-Петербург, Дунайский проспект, 14к1",154412,30.333448,59.831955
"Санкт-Петербург, Лиговский проспект",149951,30.348064,59.911543
"Санкт-Петербург, улица Хошимина, 9к2",141000,30.321869,60.050933
"Санкт-Петербург, Мурино, бульвар Менделеева, 8",94703,30.433044,60.053413
"Санкт-Петербург, городской посёлок Янино-1, Голландская улица, 3",67727,30.576191,59.948293
"Санкт-Петербург, проспект Елизарова, 6к2Г",100000,30.427951,59.897005
"Санкт-Петербург, улица Цимбалина, 25",169811,30.426684,59.884636
"Санкт-Петербург, Фрунзенский район, муниципальный округ Волковское, жилой комплекс Вало, ул. Салова, дом 61, лит. А",114775,30.368554,59.885142
"Санкт-Петербург, улица Савушкина, 7к3",168269,30.297507,59.986907
"Санкт-Петербург, Рыбацкий проспект, 18к2",148597,30.503724,59.841545
"Санкт-Петербург, Барочная улица, 4АЛ",342291,30.28599,59.965421
"Санкт-Петербург, Светлановский проспект, 115к1",130986,30.40313,60.043777
"Санкт-Петербург, территория Каменка",140042,30.22071,60.034376
"Санкт-Петербург, проспект Солидарности, 10к1",106335,30.493797,59.92088
"Санкт-Петербург, 11-я Красноармейская улица, 13",220011,30.299725,59.912382
"Санкт-Петербург, Кудрово, Ленинградская улица, 7к2",101457,30.514674,59.914362
"Санкт-Петербург, Кудрово, Ленинградская улица, 7",123333,30.514135,59.915093
"Санкт-Петербург, Пушкин, Железнодорожная улица, 52",103226,30.420243,59.733632
"Санкт-Петербург, Дальневосточный проспект, 27к3",115385,30.452879,59.902677
