address,price
"Екатеринбург, квартал Центральный, жилой комплекс Екатерининский Парк",94050
"Екатеринбург, Октябрьский район, микрорайон Синие Камни, бульвар Есенина, 5",66975
"Екатеринбург, Ангарская улица, 64",58559
"Екатеринбург, Верх-Исетский район, микрорайон Визовский",101895
"Екатеринбург, Ленинский район, микрорайон Европейский, Кольцевая улица, 39",66250
"Екатеринбург, улица Куйбышева, 104",87931
"Екатеринбург, улица Железнодорожников, 78",68033
"Екатеринбург, улица Чкалова, 250",55738
"Екатеринбург, улица Патриса Лумумбы, 63",73529
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш",66920
"Екатеринбург, Орджоникидзевский район, улица Лукиных, 18",65539
"Екатеринбург, проспект Космонавтов, 67",66507
"Екатеринбург, Восточная улица, 31",86423
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, Шефская улица, 108",93199
"Екатеринбург, Железнодорожный район, микрорайон Старая Сортировка, Расточная улица, 43к1",62121
"Екатеринбург, Широкий переулок, 2А",63733
"Екатеринбург, улица Чкалова, 119",68367
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",76500
"Екатеринбург, улица Якова Свердлова, 30",77430
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Стачек, 68/10",79505
"Екатеринбург, Гончарный переулок, 4",64500
"Екатеринбург, микрорайон Юго-Западный, Волгоградская улица, 45",69767
"Екатеринбург, Чкаловский район, микрорайон Светлый, 4",78571
"Екатеринбург, микрорайон Академический, проспект Академика Сахарова, 29",73590
"Екатеринбург, Посадская улица, 32к3",75556
"Екатеринбург, Машинная улица, 1Бк2",82167
"Екатеринбург, Кировский район, микрорайон Пионерский, улица Смазчиков, 18",92140
"Екатеринбург, Орджоникидзевский район, микрорайон Эльмаш, улица Фрезеровщиков, 5",80179
"Екатеринбург, улица Краснолесья, 10к3",73786
"Екатеринбург, Железнодорожный район, жилой комплекс Космонавтов 11, к3.1",93400
"Екатеринбург, Орджоникидзевский район, улица Красных Борцов, 12",69643
"Екатеринбург, улица Металлургов, 48",81250
"Екатеринбург, микрорайон Автовокзал",99756
"Екатеринбург, улица Евгения Савкова, 8",71875
"Екатеринбург, Октябрьский район, микрорайон Кольцово, Утренний переулок, 7",71895
"Екатеринбург, Орджоникидзевский район, Донбасская улица, 13Б",72000
"Екатеринбург, переулок Буторина, 22",61111
"Екатеринбург, улица Горького, 69/1",153696
"Екатеринбург, ул.Маневровая-Таватуйская",72688
"Екатеринбург, улица Юлиуса Фучика, 5",96739
"Екатеринбург, улица Испанских Рабочих, 26",89032
"Екатеринбург, Свердловская область, муниципальное образование Город Екатеринбург, посёлок Мичуринский, Широкореченская",60800
"Екатеринбург, микрорайон Академический, улица Павла Шаманова, 8",59976
"Екатеринбург, Кировский район, микрорайон Пионерский, Уральская улица, 77",86003
"Екатеринбург, улица Крауля, 80к1",87407
"Екатеринбург, Латвийская улица, 37",72619
"Екатеринбург, улица Вильгельма де Геннина, 49",74186
"Екатеринбург, улица Юмашева, 18",79845
"Екатеринбург, Верх-Исетский район, жилой комплекс Флагман",74500
"Екатеринбург, Филатовская улица",53100
"Екатеринбург, переулок Трактористов, 15",79070
"Екатеринбург, микрорайон ЖБИ, Сиреневый бульвар, 1",78605
"Екатеринбург, Филатовская улица",55100
"Екатеринбург, Машинная, 1б",84824
"Екатеринбург, улица Щербакова, 20",68819
