address,area,price,longtitude,latitude
"Санкт-Петербург, ул. Парашютная, д. 42, корп. 1, стр. 1",26.7,138577,60.029458,30.251764
"Санкт-Петербург, Россия, Санкт-Петербург, Красногвардейский, Маршака пр., 16к3",40.0,100000,60.029885,30.452044
"Санкт-Петербург, ул. Кораблестроителей, 30",70.0,142143,59.952493,30.212346
"Санкт-Петербург, Московское ш., стр. 3",36.0,86139,59.836635,30.329909
"Санкт-Петербург, пр-т Комендантский, стр. 7.1",57.0,107018,60.002202,30.268635
"Санкт-Петербург, ул. Орджоникидзе, 52",25.0,162000,59.844036,30.361772
"Санкт-Петербург, пр-т Московский, уч. 108",37.2,179746,59.893493,30.320099
"Санкт-Петербург, ул. Глухарская, 1 этап",38.4,105632,60.027543,30.212679
"Санкт-Петербург, ул. Среднерогатская, д. 16, корп. 2",41.7,124990,59.822919,30.34138
"Санкт-Петербург, ул. Школьная, 2 оч.",51.8,93248,59.988874,30.298845
"Санкт-Петербург, пр-т Металлистов, 117",26.4,125000,59.97599,30.386745
"Санкт-Петербург, Московский пр-т, 183-185",160.4,133292,59.855331,30.319839
"Санкт-Петербург, пос. Шушары, территория Ленсоветовский, 21",83.0,61807,59.759111,30.465932
"Санкт-Петербург, Средний пр-т Васильевского острова, 87к3",35.0,152857,59.937634,30.249195
"Санкт-Петербург, Московский пр-т, 183-185",117.7,134325,59.855331,30.319839
"Санкт-Петербург, Московский пр-т, 183-185",109.0,206422,59.855331,30.319839
"Санкт-Петербург, Киевская ул., 3к2Е",68.3,168375,59.901233,30.322309
"Санкт-Петербург, Московский пр-т, 183-185",144.0,170833,59.855331,30.319839
"Санкт-Петербург, Санкт-Петербург, Красносельское (Горелово) ш, 48",58.4,93322,59.790046,30.146688
"Санкт-Петербург, ул. Максима Горького, стр. 2, лит. О",46.3,201227,59.766928,30.12795
"Санкт-Петербург, пр-т Московский, уч. 108",37.2,179746,59.893493,30.320099
"Санкт-Петербург, ул. Глухарская, 1 этап",38.4,105632,60.027543,30.212679
"Санкт-Петербург, ул. Среднерогатская, д. 16, корп. 2",41.7,124990,59.822919,30.34138
"Санкт-Петербург, Ушаковская наб., 3к4",47.0,244681,59.983369,30.313874
"Санкт-Петербург, пр-т Металлистов, д. 117",26.2,127250,59.97599,30.386745
"Санкт-Петербург, ул. Среднерогатская, д. 14, корп. 1",37.0,135568,59.82362,30.337491
"Санкт-Петербург, пр-т Маршала Блюхера, 9к1",38.0,165789,59.980128,30.376738
"Санкт-Петербург, пр-т Большевиков, стр. 1",61.7,71977,59.91894,30.470037
"Санкт-Петербург, Санкт-Петербург, 2-я Советская ул, 4б",40.9,235575,59.932721,30.366389
"Санкт-Петербург, Санкт-Петербург, 2-я Советская ул, 4б",104.7,236199,59.932721,30.366389
"Санкт-Петербург, Санкт-Петербург, г. Пушкин, Песочная ул, 8",180.0,294444,59.729872,30.40022
"Санкт-Петербург, Санкт-Петербург, Ждановская ул, 45А",115.0,299130,59.962719,30.267485
"Санкт-Петербург, Санкт-Петербург, 2-я Советская ул, 4б",106.3,262465,59.932721,30.366389
"Санкт-Петербург, Санкт-Петербург, 2-я Советская ул, 4б",38.9,239203,59.932721,30.366389
"Санкт-Петербург, Южное ш., 55к5",58.8,185374,59.855746,30.40561
"Санкт-Петербург, пр-т Маршала Блюхера, 9к1",30.0,136333,59.980128,30.376738
"Санкт-Петербург, Санкт-Петербург, Кременчугская ул, 21к3",41.8,215311,59.919022,30.370638
"Санкт-Петербург, Кирочная ул., 57",128.3,225721,59.94079,30.383871
"Санкт-Петербург, пос. Шушары, территория Ленсоветовский, 13",52.1,70000,59.761223,30.468195
"Санкт-Петербург, пр-т Большевиков, стр. 1",40.5,72428,59.91894,30.470037
"Санкт-Петербург, 197738, Санкт-Петербург г, Репино п, Приморское ш, дом № 424, участок В",105.0,284762,60.16362,29.858823
"Санкт-Петербург, пр-т Большой Сампсониевский, д. 77/7",50.7,137899,59.987749,30.334382
