longtitude,latitude
59.812387,30.367153
59.810962,30.360434
59.758839,30.464908
59.847033,30.205807
59.875741,30.332694
59.852447,30.242934
60.043741,30.417836
59.808776,30.368357
59.810093,30.367872
59.80836,30.382047
59.759111,30.465932
59.803667,30.382649
59.806821,30.369282
59.808776,30.368357
59.807735,30.373288
59.810962,30.360434
59.8105,30.358287
59.758477,30.468923
59.802544,30.379577
59.806821,30.369282
59.808527,30.370414
59.802572,30.381185
59.812387,30.367153
59.808776,30.368357
59.80722,30.379514
59.808423,30.371725
59.802635,30.381283
59.800987,30.370486
60.073315,30.24306
59.822919,30.34138
59.810808,30.369803
59.803667,30.382649
59.802418,30.377609
59.811405,30.367476
