address,area,price
"Санкт-Петербург, Мебельная, 21 к2",41.0,129268
"Санкт-Петербург, Комендантский пр-т, 51 к1",46.6,101996
"Санкт-Петербург, Маршала Казакова, 70 к1",36.9,111111
"Санкт-Петербург, Вилеровский пер., 6",54.7,105119
"Санкт-Петербург, Новгородский пр-т, 4",24.0,124583
"Санкт-Петербург, Большевиков пр-т, 7 к3",75.0,166667
"Санкт-Петербург, Галицкая, 8 к2",65.8,85106
"Санкт-Петербург, Воронцовский бульвар, 12",38.5,97273
"Санкт-Петербург, Грибалёвой, 7 к4",72.7,178817
"Санкт-Петербург, Лыжный пер., 4 к3",33.1,143505
"Санкт-Петербург, Парашютная, 34 к1",28.1,125979
"Санкт-Петербург, Октябрьская наб., д. 44, стр. 1",25.3,126482
"Санкт-Петербург, Советский пр., 39 к1",34.6,118468
"Санкт-Петербург, ул. Шувалова, стр. 2",40.3,75682
"Санкт-Петербург, Крыленко, 1 к1стр1",66.0,118182
"Санкт-Петербург, Яхтенная, 34",37.9,142480
"Санкт-Петербург, Екатерининская (Мурино), 22 к1",28.0,101321
"Санкт-Петербург, Яхтенная, 28 к1",24.4,180328
"Санкт-Петербург, Валерия Гаврилина, 5",77.0,125325
"Санкт-Петербург, Вилькицкий бульв., 4стр1",50.0,147000
"Санкт-Петербург, Русановская, 16 к3",33.0,111970
"Санкт-Петербург, земли САОЗТ «Ручьи», стр. 2.12",25.0,124000
"Санкт-Петербург, Коломяжский пр-т, 20",78.0,117179
"Санкт-Петербург, Ильюшина, 6",58.0,110345
"Санкт-Петербург, Ленинский пр-т, 64 к1",94.0,100649
"Санкт-Петербург, Комендантский пр-т, 60 к1",36.3,134986
"Санкт-Петербург, Туристская, 15 к2",60.0,133333
"Санкт-Петербург, 33057, 6 к2",36.6,95628
"Санкт-Петербург, Комендантский пр-т, 60к1",36.1,155125
"Санкт-Петербург, пр-т Средний В.О., стр. 3",60.0,151049
"Санкт-Петербург, Будапештская ул., 102",60.0,151500
"Санкт-Петербург, Общественный пер., 5",61.0,146653
"Санкт-Петербург, ул. Вязовая, д. 8",135.1,496125
"Санкт-Петербург, 193231, Санкт-Петербург г, Большевиков пр-кт, дом № 7, корпус 3, участок А",147.7,196344
"Санкт-Петербург, Санкт-Петербург, 2 линия, метро Московская",33.3,165165
"Санкт-Петербург, Лиговский пр-т, 271",57.1,125219
"Санкт-Петербург, Центральный район, муниципальный округ Литейный",115.5,286260
"Санкт-Петербург, территория Усть-Славянка, Заводская ул., 15",38.0,111316
"Санкт-Петербург, ш. Петергофское, стр. 2",40.8,101854
"Санкт-Петербург, ул. Чарушинская, д. 12, стр. 1",34.3,102041
"Санкт-Петербург, Суздальское ш., 22к4",26.0,115385
"Санкт-Петербург, аллея Поликарпова, 2",208.7,95783
"Санкт-Петербург, Южное ш., 51к3",37.8,134921
"Санкт-Петербург, пос. Парголово, Заречная ул., 33",34.0,146765
"Санкт-Петербург, тер. Ленсоветовский, д. 23, стр. 1",38.4,65755
"Санкт-Петербург, наб. Черной речки, д. 3, лит. А",62.0,156161
"Санкт-Петербург, Мурино, жилой комплекс Гринландия",33.6,104762
"Санкт-Петербург, пр-т Комендантский, стр. 8.3",53.8,100929
"Санкт-Петербург, Россия, Санкт-Петербург, улица Маршала Казакова, 70к1",37.5,103973
"Санкт-Петербург, Кудровский пр.",48.0,76667
"Санкт-Петербург, Санкт-Петербург, Приморский пр-кт, 54к2",128.0,171094
"Санкт-Петербург, Санкт-Петербург, Типанова ул., д.27, к.39",105.0,166667
"Санкт-Петербург, Малая Бухарестская ул., 10к1",40.7,135135
"Санкт-Петербург, территория Шувалово, Береговая ул., 25к1",170.0,70588
"Санкт-Петербург, Санкт-Петербург, территория Каменка",93.0,100000
"Санкт-Петербург, ул. Оптиков, 34к1",35.0,184286
"Санкт-Петербург, Санкт-Петербург, Пулковское шоссе",58.0,78448
"Санкт-Петербург, пос. Парголово, ул. Тихоокеанская, д. 14, корп. 2",67.4,63427
"Санкт-Петербург, ул. Маршала Казакова, 70к1",25.0,127600
"Санкт-Петербург, Загребский б-р, 9",44.0,138636
"Санкт-Петербург, пос. Шушары, территория Славянка, Полоцкая ул., 5",44.1,92971
"Санкт-Петербург, Обуховской обороны пр., д.138, к.2",75.0,112000
"Санкт-Петербург, пр-т Тореза, 112к1",171.1,90590
"Санкт-Петербург, пр-т Народного Ополчения, 10",72.0,163889
"Санкт-Петербург, пр-т Металлистов, 117",81.4,117690
"Санкт-Петербург, Петергофское ш., 86к3",76.7,93937
"Санкт-Петербург, Коломяжский пр-т, 13Д",47.8,121548
"Санкт-Петербург, Мурино, Воронцовский б-р",59.2,82348
"Санкт-Петербург, ул. Адмирала Трибуца, 7",63.0,144444
"Санкт-Петербург, Муринская дорога, 61",78.2,88939
"Санкт-Петербург, пос. Шушары, Вилеровский пер., 8",42.0,92857
"Санкт-Петербург, Шуваловский пр-т, 74к1",52.0,148077
"Санкт-Петербург, пос. Шушары, Новгородский пр-т, 4",34.0,91176
"Санкт-Петербург, ул. Кораблестроителей, 32к1",129.6,153549
"Санкт-Петербург, пос. Шушары, Старорусский пр-т, 6",33.0,103030
"Санкт-Петербург, Красногвардейский район, муниципальный округ Полюстрово",60.4,86500
"Санкт-Петербург, Пулковское ш., 14",55.0,106909
"Санкт-Петербург, Пулковское ш., 14с6",45.0,99333
"Санкт-Петербург, пос. Парголово, ул. Тихоокеанская, д. 1, корп. 1",42.0,67500
"Санкт-Петербург, Обуховской Обороны пр-т, 195",40.0,157500
"Санкт-Петербург, Пулковское ш., уч. 4, блок-секция 2.1-2.8",74.0,121486
"Санкт-Петербург, Шуваловский пр-т, 84к1",40.0,132500
"Санкт-Петербург, Мебельная ул., 21к1",44.5,130337
"Санкт-Петербург, Воронцовский б-р, блок-секции И, К, Л",21.9,81735
"Санкт-Петербург, пос. Новогорелово, стр. 52",35.7,84034
"Санкт-Петербург, ул. Херсонская, стр. 43/12",30.4,197039
"Санкт-Петербург, Россия, Санкт-Петербург, улица Коллонтай, д. 31к2",103.0,132524
"Санкт-Петербург, пр-т Ветеранов, уч. 66, стр. 10.1",33.7,93769
"Санкт-Петербург, Россия, Санкт-Петербург, Плесецкая ул, д.20",80.0,122500
"Санкт-Петербург, Россия, Санкт-Петербург, Плесецкая ул, д.20 к.1",38.0,131316
"Санкт-Петербург, ул. Новолитовская, д. 16, корп. 1",26.0,150000
"Санкт-Петербург, ул. Дыбенко, 4к2",38.0,125000
"Санкт-Петербург, Гжатская ул., 22к3",64.4,150466
"Санкт-Петербург, пр-т Ветеранов, уч. 42",55.2,106884
"Санкт-Петербург, Санкт-Петербург, Парголово пос., 23 к. 1",82.3,98420
"Санкт-Петербург, Богатырский пр-т, 64к1",65.5,158779
"Санкт-Петербург, Мурино, жилой комплекс Гринландия-2",26.0,108462
"Санкт-Петербург, Плесецкая ул., 20к1",27.0,127778
"Санкт-Петербург, Шлиссельбургский пр-т, 24к1",42.0,119048
"Санкт-Петербург, Афанасьевская ул., 1",50.6,120553
"Санкт-Петербург, Среднерогатская ул., 13к2",34.4,143895
"Санкт-Петербург, Пионерская ул., 50",42.0,209286
"Санкт-Петербург, пос. Новогорелово, ул. Промышленная/Центральная, стр. 28",57.0,78421
"Санкт-Петербург, Санкт-Петербург, Дизельный проезд, 11к1",26.5,116981
