longtitude,latitude
55.793915,37.612317
55.821077,37.430462
55.794113,37.35901
55.657057,37.423482
55.633409,37.321524
55.787518,37.474022
55.783018,37.461364
55.704184,37.965634
55.821077,37.430462
55.644704,37.385861
55.613107,37.742977
55.76132,37.512505
55.769535,37.498366
55.711828,37.939412
55.633963,37.425468
55.811735,37.740722
55.718152,37.424713
55.717883,37.426573
55.768512,37.498591
55.891083,37.568524
55.664274,37.506684
55.694449,37.470581
55.719876,37.694073
55.721087,37.694836
55.839522,37.482879
55.808478,37.758797
55.720231,37.693516
55.703834,37.648043
55.762789,37.508984
55.734973,37.571013
55.79977,37.710889
55.751193,37.685934
55.77919,37.574309
55.809348,37.450863
